Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
scaf,head,-0.9196580779628787,0.26388730889697326,0.990369449855973,0.00247764561147684,0.009630550144027028,0.001972715528765075,0.007152904532550188,0.0015003661385429383,-0.6014605897623411,0.22586733623426866
Pngl,head,-0.23824321127219728,0.21965291497635417,0.6433490284180979,0.1399136655342342,0.35665097158190207,0.15455878627793548,0.21673730604766786,0.1033724467318238,-0.13464619516366821,0.17989938491673865
SCAP,head,-0.14393987179189205,0.2121970954642803,0.5265418646191593,0.2053937470920471,0.4734581353808407,0.22453720192153656,0.2680643882887936,0.147271741860459,-0.07737281329218199,0.1625479877265844
CG14591,head,0.13831971676845622,0.23226087385871794,0.22771096239548916,0.5080440439801939,0.49195595601980613,0.23503366798472264,0.26424499362431697,0.14364907119415127,0.07104991801310206,0.17190209089040212
Tbce,head,-0.23104630543922422,0.25126235243967415,0.5989062449588265,0.17575026147712533,0.4010937550411735,0.17816468976388017,0.22534349356404818,0.10941023514593216,-0.11903730594023725,0.19167778255157064
Ars2,head,0.19764511697320053,0.18475852624672384,0.13138125144679663,0.633410153555144,0.3665898464448559,0.16046074279318437,0.2352085949980593,0.11671160087769143,0.11860520964879322,0.157633538335982
Cyp6w1,head,0.6207990242408847,0.23811915761102168,0.014605623609158187,0.9486166463693485,0.05138335363065154,0.013179808602131308,0.03677773002149335,0.009451178153867193,0.4152795340565739,0.212913964401086
CG11211,head,-0.5025923809539068,0.42065793179069266,0.6413687479532422,0.1810133952567216,0.35863125204675783,0.15546420316123413,0.17761785679003622,0.07740422138106247,-0.17366803549902898,0.2614295996526546
Fmo-2,head,0.04091323313387196,0.21820742174803273,0.30762672664506807,0.3968294356834362,0.6031705643165638,0.2994588310749705,0.2955438376714957,0.16894532980967236,0.02084223712064264,0.1563340782885067
geminin,head,0.19901192706460735,0.24813419352388794,0.19485683797621436,0.5666464928827306,0.43335350711726944,0.19808489898989418,0.23849666914105508,0.11938849907719959,0.10158710654622953,0.1863516498281449
CG15908,head,-0.13175512266151168,0.24539739417624398,0.4946292325261712,0.24330009134332675,0.5053707674738288,0.24187324669275123,0.26207067613050206,0.1413529081430904,-0.06560369665713128,0.17759679981701257
CG9410,head,-0.20595386694719986,0.24395235266638288,0.5778999188698459,0.1862208393808337,0.42210008113015407,0.19194048499556912,0.23587924174932037,0.11773248790185929,-0.10666045098439139,0.18547629832468662
Hsepi,head,-0.7205370464840446,0.2711090782734995,0.9458873581518968,0.016557517746652282,0.05411264184810316,0.013807140814385199,0.03755512410145088,0.009697771385618163,-0.44321400787492193,0.23301740092122775
Rpp25,head,-0.09318835069502907,0.27547752395958364,0.4481297940019347,0.2923856156446532,0.5518702059980654,0.2694010021250643,0.25948459035341215,0.1387683308169406,-0.04297424873038749,0.18883617729124388
CG3420,head,-0.24033264065769044,0.24170888985635464,0.6191713296293669,0.16064732568415954,0.38082867037063306,0.16739420935457308,0.22018134468647352,0.1056499479342299,-0.12781783479305517,0.18915337837452487
CG9436,head,-0.009395079714625165,0.2031536802653195,0.35645173863645147,0.3343823061082541,0.6435482613635486,0.3233319454004027,0.3091659552552945,0.17473954521975713,-0.004870883725210182,0.14631438237620042
Cyp6u1,head,-0.5461625555249126,0.2793888566162605,0.8445037493482226,0.056064035342458796,0.1554962506517774,0.053951672165223785,0.09943221530931862,0.03558365733969611,-0.30544969940866523,0.2338384868511269
CG17002,head,0.07572201993104954,0.26777439671067915,0.30202926370509703,0.4330592536926034,0.5669407463073967,0.278611571441432,0.26491148260229963,0.1441829396100594,0.03538621586637685,0.1843081031193
Tsp42Ef,head,-0.2248200173464352,0.20855704386285295,0.640361722852373,0.13752372701099394,0.359638277147627,0.15604055330574917,0.22211455013663303,0.10695640605530815,-0.12968987332857274,0.1730822541926884
Tsp42Eg,head,-0.27213520422020965,0.2610482973885824,0.6320832541417363,0.15889825842447416,0.3679167458582637,0.16127542848817467,0.20901848743378956,0.0976822276859281,-0.13957553346461718,0.2005913776840241
Tsp42Ej,head,-1.197276245524276,0.29228152363696747,0.997177586698793,7.044290455827966e-4,0.0028224133012070274,6.287611401563192e-4,0.002117984255624231,4.5915878886515444e-4,-0.7506368266207808,0.2555413548222594
Tsp42El,head,-0.20342037888090259,0.23669716074541935,0.5814868803203317,0.18134710198967668,0.4185131196796683,0.18949302507093269,0.23716601768999163,0.11882373865696974,-0.10716769470454644,0.1820729000421265
Br140,head,-0.0681598760429627,0.28697002163062096,0.42512554434232563,0.3166283880543984,0.5748744556576744,0.2837401400403492,0.25824606760327595,0.13761482735505515,-0.03051679699225801,0.19288332876130318
Dscam1,head,-0.31284264595073275,0.2459612906976578,0.6944312379352505,0.12089521501826717,0.3055687620647495,0.12761900011871613,0.1846735470464823,0.08268583310297589,-0.17222101050270106,0.2004862487642232
Eaf,head,-0.3915018210651895,0.24414923621269619,0.7786171496446048,0.08029207111832454,0.22138285035539518,0.08466490660904052,0.14109077923707064,0.05695748932936063,-0.2284572870880196,0.20890749149311855
sPLA2,head,-0.5480934210165465,0.2705752320488486,0.8602649865222916,0.04871944378137233,0.13973501347770845,0.047460879813956795,0.09101556969633612,0.03202630979065528,-0.31685875026724036,0.2304018162609101
CG11127,head,0.12167260429518345,0.270768543715286,0.2682942561739864,0.4755207136194355,0.5244792863805645,0.2535100379843131,0.2561850302065781,0.13566838009687163,0.05708799669084667,0.18854295338975624
p47,head,-0.10475510042698,0.2060745285229265,0.47741660816220344,0.23562097953550498,0.5225833918377966,0.2522760558656125,0.2869624123022916,0.16326371733710937,-0.055673840930218384,0.1543678799711717
CG1620,head,-0.38163008049349,0.2206202887461905,0.8122579909004732,0.062223019462497864,0.18774200909952676,0.06975681115015367,0.1255189896370289,0.04867648977049552,-0.24076863463377596,0.1981414981415084
Drat,head,0.16773068772674193,0.17625621665902222,0.14646531496758264,0.5952908140597113,0.40470918594028865,0.17994885126898005,0.258243870972706,0.13757969886342783,0.09950835128601652,0.14799079453991507
Corin,head,-0.4674021328925757,0.2743524708897433,0.7944920294799773,0.07757722281207444,0.20550797052002268,0.07782781694406857,0.12793074770794824,0.05009916777095276,-0.25603566564148195,0.22658021414697782
CG1358,head,0.0704036120443412,0.22288722144562984,0.2812104498187985,0.4311359501693032,0.5688640498306968,0.27959970398530165,0.2876536000118983,0.16375871417926727,0.03584573997579165,0.16068309697400746
mRpL52,head,0.6679763049201508,0.22149511618181714,0.00514880433446545,0.9792847227819548,0.0207152772180453,0.0049578964071010255,0.015566472883579851,0.0037779857153968383,0.4771757127871235,0.19878138123950673
CG12107,head,-0.3447707719703277,0.22003940316325624,0.7733864879974505,0.07816883999968849,0.22661351200254953,0.08753684942953872,0.14844467200286104,0.061435435516367695,-0.2119739919487486,0.19438011656685003
LRR,head,-0.29447315164232135,0.26406958377801476,0.651278616589026,0.14865581482492304,0.34872138341097403,0.15002177478099693,0.20006556858605098,0.09142325292327434,-0.15156736329739903,0.2044575814431927
CG12825,head,-0.2897106331543,0.32613972985058,0.5872764479483839,0.2028140340345675,0.41272355205161615,0.18575749467253702,0.20990951801704866,0.09840895817847188,-0.12433185858580176,0.22349044712788121
TTLL12,head,-0.28970548322252965,0.27747568650066,0.6314710507463679,0.16354095905979477,0.3685289492536321,0.1614384339178792,0.20498799019383734,0.09492722866834281,-0.1429422025079411,0.2083883919456632
puml,head,-0.15617104002045368,0.21955339282541106,0.5375055183791908,0.20186775543193958,0.4624944816208092,0.2168675300733278,0.2606267261888696,0.13977381137580006,-0.08326798142213963,0.16786206387906036
CG12822,head,0.09496023689152455,0.22832709335244494,0.2620960063066635,0.4588651122180649,0.5411348877819351,0.2632430042081703,0.27903888147527156,0.15650648990181273,0.048267528753801636,0.1655687729371264
CG12159,head,-0.834962044401198,0.29248383551790313,0.9573877088485817,0.013166900921403928,0.04261229115141829,0.010366931880001628,0.029445390230014364,0.007474130618845469,-0.4915009517368147,0.24501170604967146
CG8728,head,0.1460977204552183,0.23649008188897713,0.2248438518731709,0.5148778784869248,0.48512212151307516,0.23178989269864142,0.26027826963990425,0.13949708366235714,0.0746372539777465,0.17482520053568518
CG14764,head,-0.06774298074610519,0.2335014830391644,0.42744477730764247,0.29028617020415753,0.5725552226923576,0.2824805800694276,0.28226905248820006,0.15955437544002324,-0.03382391731549381,0.16637196463422155
