Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
Ask1,body,-0.18936462882808747,0.10693704464505398,0.3440146889948955,0.051736354854397315,0.6559853110051045,0.44498688102892187,0.6042489561507072,0.41438936261679366,-0.031757612719819826,0.061083803158408806
Ptp69D,body,-0.12760666159876455,0.10618538421101528,0.24464567188470565,0.070578744541056615,0.7553543281152943,0.5964300933557805,0.6847755835742377,0.549366323294661,-0.01658203012476775,0.04627993640834812
Rab2,body,-0.03974463016393481,0.0783279853515458,0.15587779550981684,0.08585559491959616,0.8441222044901832,0.7270071944215335,0.758266609570587,0.6733476437799488,-0.0052108534334957555,0.029903704307511547
Rab5,body,-0.1107334261130608,0.07678289834534227,0.2951025613469471,0.04895137152953877,0.7048974386530529,0.514213154147306,0.6559460671235141,0.4967909436886116,-0.021439821514120067,0.04551039565627412
Rac2,body,0.12753525424247458,0.11252916187085898,0.07566723155781807,0.2338744914688352,0.7661255085311648,0.6126493544215926,0.6904582769733467,0.5616379367703914,0.015235594208983088,0.04592713440954325
Rel,body,0.20149141403865556,0.10330302814079394,0.044713258254014954,0.38920105420566187,0.6107989457943381,0.38144783705604096,0.5660856875403232,0.35226340026012115,0.03890388347051869,0.0662661733568829
Rho1,body,0.10035292804707274,0.0568403266106888,0.029993075570548866,0.38673588724752617,0.6132641127524738,0.3847349283296431,0.583271037181925,0.37845735357790816,0.029085382329739715,0.04644558176037662
mRpL47,body,0.16604903380946334,0.11446667668515396,0.06518178256161267,0.27917039481582595,0.720829605184174,0.5393407318495754,0.6556478226225614,0.49588535821513924,0.02204540283441995,0.0532306708977276
RpL7A,body,0.10139139774989214,0.07825382833610954,0.05448571693144999,0.26529282305471125,0.7347071769452888,0.5652349254393082,0.6802214600138388,0.541660312491942,0.017885965977322702,0.04245579022566143
SdhB,body,0.06528445313666698,0.14299918235286072,0.11405637960539117,0.16700859091861797,0.832991409081382,0.7112419758649079,0.7189350294759909,0.6162079340709552,0.005186624674366661,0.0413589214846468
Septin2,body,0.003234209909304342,0.10738516048528092,0.12625792177932704,0.13010093188060357,0.8698990681193964,0.7594770137232126,0.7436411463400694,0.6634921696755497,3.291265258116932e-4,0.03426149925930196
Agxt,body,-0.01684540785256594,0.1172352461996433,0.14064484703013613,0.12277258237766209,0.8593551529698639,0.7475018042100234,0.7365825705922018,0.6550225442811207,-0.0015946869888177945,0.03618313234149119
Sptr,body,0.21359474364867193,0.12237965283646676,0.05853601833610633,0.32406649554389666,0.6759335044561033,0.4728196256039323,0.617397486119997,0.43361081301464327,0.0300534231424395,0.06285910795221122
Su(Tpl),body,0.07851893682456046,0.0772185178819623,0.0637945047581927,0.21789764940086231,0.7821023505991377,0.6362908559477957,0.718307845840945,0.6148072717443884,0.012246007134608005,0.036521119405117
Uggt,body,-0.2111241915451183,0.11103410001767482,0.36762582585143666,0.04929537275441731,0.6323741741485633,0.4101834279717049,0.583078801394146,0.3780111364023003,-0.03635445782298431,0.06613540638421504
Vm32E,body,-0.23489699924280738,0.18008433367912594,0.23430711544414562,0.0906740086950587,0.7656928845558544,0.6114287556455289,0.6750188758607957,0.5324304554276122,-0.01694117812601134,0.05780551052111555
CG4278,body,0.04139639246891247,0.13757770021706117,0.1201689478285799,0.15544595278778683,0.8445540472122132,0.727753461003775,0.7243850993836333,0.6281528911740297,0.0033782329565738376,0.03976424587910799
barr,body,-0.002361734386565284,0.13315513483836358,0.13655244731172345,0.13445529654333743,0.8634475526882766,0.7533181435116975,0.7289922561449391,0.6402272672262196,-1.970660554692997e-4,0.038465082118682145
bif,body,-0.08929253295545458,0.08304231466313344,0.22791412793735077,0.0646554010256577,0.7720858720626492,0.6223346420413116,0.7074304710369915,0.5932913248452278,-0.013616183503463051,0.039118778998912446
fax,body,2.817444935740987e-4,0.07307164332757149,0.11095502341109387,0.11147039019891714,0.8885296098010829,0.765034284768711,0.777574586389989,0.6785193805005613,3.5882052959863925e-5,0.026077220580350283
Oda,body,-0.01772407924169328,0.05158262301630801,0.11818183208728206,0.07415819323181416,0.8818181679127179,0.7643514386394284,0.8076599746809038,0.6804997293728272,-0.002454881760962152,0.019857687731149758
Hel25E,body,0.17178694535466277,0.07101803803845884,0.019105422208204714,0.6021892637937116,0.3978107362062883,0.1673524288992916,0.3787053139980836,0.1584826613383022,0.06623708008481208,0.06970189894045725
prod,body,-0.07906365056355491,0.09797006919032356,0.19441935258706022,0.08242956011634128,0.8055806474129398,0.6729765263897546,0.7231510872965985,0.6258051091154164,-0.009681121469408005,0.03799915923758763
sun,body,-0.14278010122813156,0.0741077808636728,0.4239327427438869,0.03316420294717237,0.5760672572561131,0.33236960193389126,0.5429030543089407,0.31718686642905985,-0.03842909872290214,0.057894617438410304
Vps26,body,-0.04194565231190295,0.12127472805044343,0.15594253897993016,0.11311858157381305,0.8440574610200698,0.7268642369280027,0.7309388794462568,0.64470288364988,-0.003904559564582073,0.0376428967288742
