sample_name	treatment	tissue	plate	date
Chrom_50_1_h_C9 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D2 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D3 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D4 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D5 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D6 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D7 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D8 3mM head 50_1_h 8_4_22
Chrom_50_1_h_D9 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E2 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E3 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E4 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E5 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E6 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E7 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E8 3mM head 50_1_h 8_4_22
Chrom_50_1_h_E9 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F2 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F3 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F4 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F5 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F6 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F7 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F8 3mM head 50_1_h 8_4_22
Chrom_50_1_h_F9 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G2 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G3 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G4 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G5 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G6 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G7 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G8 3mM head 50_1_h 8_4_22
Chrom_50_1_h_G9 3mM head 50_1_h 8_4_22
Chrom_50_1_h_H1 3mM head 50_1_h 8_4_22
Chrom_50_1_h_H10 3mM head 50_1_h 8_4_22
Chrom_50_1_h_H11 3mM head 50_1_h 8_4_22
Chrom_50_1_h_H12 3mM head 50_1_h 8_4_22
Chrom_50_1_h_H2 3mM head 50_1_h 8_4_22
