sample_name	tissue	treatment	plate
Chrom_40_1_b_F11	body	control	Chrom_40_1_b
Chrom_40_1_b_F12	body	control	Chrom_40_1_b
Chrom_40_1_b_G1	body	control	Chrom_40_1_b
Chrom_40_1_b_G2	body	control	Chrom_40_1_b
Chrom_40_1_b_G3	body	control	Chrom_40_1_b
Chrom_40_1_b_G4	body	control	Chrom_40_1_b
Chrom_40_1_b_G5	body	control	Chrom_40_1_b
Chrom_40_1_b_G6	body	control	Chrom_40_1_b
Chrom_40_1_b_G7	body	control	Chrom_40_1_b
Chrom_40_1_b_G8	body	control	Chrom_40_1_b
Chrom_40_1_b_G9	body	control	Chrom_40_1_b
Chrom_40_1_b_G10	body	control	Chrom_40_1_b
Chrom_40_1_b_G11	body	control	Chrom_40_1_b
Chrom_40_1_b_G12	body	control	Chrom_40_1_b
Chrom_40_1_b_H1	body	control	Chrom_40_1_b
Chrom_40_1_b_H2	body	control	Chrom_40_1_b
Chrom_40_1_b_H3	body	control	Chrom_40_1_b
Chrom_40_1_b_H4	body	control	Chrom_40_1_b
Chrom_40_1_b_H5	body	control	Chrom_40_1_b
Chrom_40_1_b_H6	body	control	Chrom_40_1_b
Chrom_40_1_b_H7	body	control	Chrom_40_1_b
Chrom_40_1_b_H8	body	control	Chrom_40_1_b
Chrom_40_1_b_H9	body	control	Chrom_40_1_b
Chrom_40_1_b_H10	body	control	Chrom_40_1_b
Chrom_40_1_b_H11	body	control	Chrom_40_1_b
Chrom_40_1_b_H12	body	control	Chrom_40_1_b
Chrom_50_1_b_A1	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A2	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A3	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A4	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A5	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A6	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A7	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A8	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A9	body	crvi	Chrom_50_1_b
Chrom_50_1_b_A10	body	crvi	Chrom_50_1_b
