sample_name	tissue	treatment	plate
Chrom_40_1_b_C2	body	control	Chrom_40_1_b
Chrom_40_1_h_C10	head	control	Chrom_40_1_h
Chrom_40_1_b_C3	body	control	Chrom_40_1_b
Chrom_40_1_h_C9	head	control	Chrom_40_1_h
Chrom_40_1_b_C4	body	control	Chrom_40_1_b
Chrom_40_1_h_C8	head	control	Chrom_40_1_h
Chrom_40_1_b_C5	body	control	Chrom_40_1_b
Chrom_40_1_h_C7	head	control	Chrom_40_1_h
Chrom_40_1_b_C6	body	control	Chrom_40_1_b
Chrom_40_1_h_C6	head	control	Chrom_40_1_h
Chrom_40_1_b_C7	body	control	Chrom_40_1_b
Chrom_40_1_h_C5	head	control	Chrom_40_1_h
Chrom_40_1_b_C8	body	control	Chrom_40_1_b
Chrom_40_1_h_C4	head	control	Chrom_40_1_h
Chrom_40_1_b_C9	body	control	Chrom_40_1_b
Chrom_40_1_h_C3	head	control	Chrom_40_1_h
Chrom_40_1_b_C10	body	control	Chrom_40_1_b
Chrom_40_1_h_C2	head	control	Chrom_40_1_h
Chrom_40_1_b_C11	body	control	Chrom_40_1_b
Chrom_40_1_h_C1	head	control	Chrom_40_1_h
Chrom_40_1_b_C12	body	control	Chrom_40_1_b
Chrom_40_1_h_D12	head	control	Chrom_40_1_h
Chrom_40_1_b_D1	body	control	Chrom_40_1_b
Chrom_40_1_h_D11	head	control	Chrom_40_1_h
Chrom_40_1_b_D2	body	control	Chrom_40_1_b
Chrom_40_1_h_D10	head	control	Chrom_40_1_h
Chrom_40_1_b_D3	body	control	Chrom_40_1_b
Chrom_40_1_h_D9	head	control	Chrom_40_1_h
Chrom_40_1_b_D4	body	control	Chrom_40_1_b
Chrom_40_1_h_D8	head	control	Chrom_40_1_h
Chrom_40_1_b_D5	body	control	Chrom_40_1_b
Chrom_40_1_h_D7	head	control	Chrom_40_1_h
Chrom_40_1_b_D6	body	control	Chrom_40_1_b
Chrom_40_1_h_D6	head	control	Chrom_40_1_h
Chrom_40_1_b_D7	body	control	Chrom_40_1_b
Chrom_40_1_h_D5	head	control	Chrom_40_1_h
Chrom_40_1_b_D8	body	control	Chrom_40_1_b
Chrom_40_1_h_D4	head	control	Chrom_40_1_h
Chrom_40_1_b_D9	body	control	Chrom_40_1_b
Chrom_40_1_h_D3	head	control	Chrom_40_1_h
Chrom_40_1_b_D10	body	control	Chrom_40_1_b
Chrom_40_1_h_D2	head	control	Chrom_40_1_h
Chrom_40_1_b_D11	body	control	Chrom_40_1_b
Chrom_40_1_h_D1	head	control	Chrom_40_1_h
Chrom_40_1_b_D12	body	control	Chrom_40_1_b
Chrom_40_1_h_E12	head	control	Chrom_40_1_h
Chrom_40_1_b_E1	body	control	Chrom_40_1_b
Chrom_40_1_h_E11	head	control	Chrom_40_1_h
Chrom_40_1_b_E2	body	control	Chrom_40_1_b
Chrom_40_1_h_E10	head	control	Chrom_40_1_h
Chrom_40_1_b_E3	body	control	Chrom_40_1_b
Chrom_40_1_h_E9	head	control	Chrom_40_1_h
Chrom_40_1_b_E4	body	control	Chrom_40_1_b
Chrom_40_1_h_E8	head	control	Chrom_40_1_h
Chrom_40_1_b_E5	body	control	Chrom_40_1_b
Chrom_40_1_h_E7	head	control	Chrom_40_1_h
Chrom_40_1_b_E6	body	control	Chrom_40_1_b
Chrom_40_1_h_E6	head	control	Chrom_40_1_h
Chrom_40_1_b_E7	body	control	Chrom_40_1_b
Chrom_40_1_h_E5	head	control	Chrom_40_1_h
Chrom_40_1_b_E8	body	control	Chrom_40_1_b
Chrom_40_1_h_E4	head	control	Chrom_40_1_h
Chrom_40_1_b_E9	body	control	Chrom_40_1_b
Chrom_40_1_h_E3	head	control	Chrom_40_1_h
Chrom_40_1_b_E10	body	control	Chrom_40_1_b
Chrom_40_1_h_E2	head	control	Chrom_40_1_h
Chrom_40_1_b_E11	body	control	Chrom_40_1_b
